               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088797,            0.029002,            0.021807,           0.0048662,             0.15385,            0.026153,            0.012045,            0.032015,             0.02248,            0.010236,              0.0946,              0.0006,              0.0006
                   1,            0.066295,            0.029625,            0.018889,            0.003856,             0.23077,            0.020057,           0.0096481,            0.025307,            0.019719,            0.010009,            0.088274,           0.0012743,           0.0012743
                   2,            0.057091,            0.027281,            0.017363,             0.20872,             0.19298,             0.21791,             0.12638,            0.017366,            0.017545,            0.009755,            0.081921,           0.0019208,           0.0019208
                   3,            0.056415,            0.026575,            0.018453,             0.21165,             0.19231,             0.26198,             0.14741,            0.013353,            0.016223,           0.0096354,             0.07554,           0.0025396,           0.0025396
                   4,            0.040491,            0.026869,            0.017007,             0.42682,             0.36771,             0.35834,             0.22553,            0.014114,            0.014169,           0.0091392,            0.069131,           0.0031307,           0.0031307
                   5,            0.037359,            0.024141,            0.017508,             0.40766,             0.58337,             0.56051,             0.39389,             0.01165,             0.01312,           0.0089239,            0.062694,           0.0036941,           0.0036941
                   6,            0.034185,            0.021544,            0.016744,             0.37343,              0.8544,             0.64636,             0.33013,            0.010853,            0.012483,           0.0091515,             0.05623,           0.0042298,           0.0042298
                   7,            0.037404,            0.020094,            0.016742,             0.42663,             0.92857,             0.69749,             0.44931,            0.013031,            0.010433,           0.0091546,            0.049738,           0.0047377,           0.0047377
                   8,            0.041423,            0.018877,            0.019455,             0.36027,             0.92857,             0.56469,             0.33801,             0.01372,           0.0077514,           0.0088631,            0.043218,           0.0052179,           0.0052179
                   9,            0.037664,            0.018707,            0.017551,             0.48283,             0.79074,             0.64393,             0.38162,            0.021564,           0.0067558,           0.0087459,             0.03667,           0.0056704,           0.0056704
                  10,            0.040469,            0.017981,            0.016472,             0.54362,             0.78876,             0.65965,             0.39046,            0.021847,           0.0063482,           0.0083672,            0.030095,           0.0060952,           0.0060952
                  11,            0.040707,            0.014859,            0.016788,              0.6318,             0.93997,             0.74467,             0.48659,            0.012801,           0.0061662,           0.0082838,            0.023492,           0.0064923,           0.0064923
